IdTanqueMovimiento,CveCiudad,IdTanque,FechaCarga,HoraCarga,TemperaturaCarga,LitrosCarga,AlturaTanque,CuentaLitros,Remision,IdProveedor,Observaciones,TipoMovimiento,FechaHoraMovimiento,IdUnidad,IdPersonal,FolioVale,Horimetro,Odometro
9,GDL,8,2026-02-12,08:45:00,11,0,39,418278,0,1,,E,2026-02-12 08:50:13,,,,,
10,GDL,10,2026-02-12,10:32:00,23,230,0,571603,,,,S,2026-02-12 10:35:02,325,805,74,3355,26287
11,GDL,10,2026-02-12,16:51:00,31,22,0,571627,,,,S,2026-02-12 16:53:13,150,805,81,26310,33610
12,GDL,10,2026-02-12,16:53:00,31,151,0,571777,,,,S,2026-02-12 16:56:49,190,805,79,80,41955
13,GDL,10,2026-02-14,13:48:00,28,157,0,571934,,,,S,2026-02-14 13:51:00,190,805,83,94,412091
14,GDL,10,2026-02-14,13:51:00,28,115,0,572049,,,,S,2026-02-14 13:52:27,325,803,82,3386,26469
15,GDL,8,2026-02-16,10:41:00,13,271,0,572320,,,,S,2026-02-16 10:43:55,62,805,76,1001,3831
16,PUE,3,2026-02-16,10:00:00,19,10000,200,50000,PUEBLA_IN_01,1,"Este registro es una prueba , favor de borrar",E,2026-02-16 23:04:38,,,,,
17,PUE,3,2026-02-16,10:00:00,21,80,0,50080,,,"este es un registro de prueba , favor de borrar",S,2026-02-16 23:08:44,195,1186,SALIDA_01,1000,25000
18,PUE,3,2026-02-16,11:05:00,23,75,0,50155,,,"Es un registro de prueba , favor de borrar",S,2026-02-16 23:29:37,196,1186,SALIDA_02,1200,15000
19,PUE,3,2026-02-16,11:31:00,23,45,0,50200,,,"Es un registro de prueba , favor de borrar registro",S,2026-02-16 23:33:35,197,868,SALIDA_03,900,700
20,PUE,3,2026-02-17,11:18:00,21,200,198,50200,REMISION_ENTRADA_02,1,"Es un registro de prueba , favor de borrar",E,2026-02-17 11:20:39,,,,,
21,PUE,3,2026-02-17,11:29:00,23,120,0,50320,,,Documento de Registgro de Salida de prueba favor  borrar,S,2026-02-17 11:33:57,198,1660,SALIDA_DEMO_04,5000,4000
22,GDL,8,2026-02-14,14:38:00,16,80,0,419014,,,,S,2026-02-17 14:42:24,324,805,104,853,608287
23,GDL,8,2026-02-14,14:42:00,12,53,0,419014,,,,S,2026-02-17 14:43:58,323,805,107,2869,430570
24,GDL,8,2026-02-14,14:43:00,16,98,0,419014,,,,S,2026-02-17 14:45:25,326,180,106,214,50210
25,GDL,8,2026-02-16,20:45:00,12,130,0,419379,,,,S,2026-02-17 14:56:22,324,803,112,947,610419
26,GDL,8,2026-02-16,14:56:00,16,111,0,419379,,,,S,2026-02-17 15:00:08,326,180,111,224,50375
27,GDL,8,2026-02-17,15:00:00,12,77,0,419379,,,,S,2026-02-17 15:03:03,323,803,116,28761,43213
28,GDL,8,2026-02-18,18:23:00,17,52,0,4199749,,,,S,2026-02-17 18:24:51,320,1640,115,111,24469
29,GDL,10,2026-02-18,09:00:00,14,244,0,572524,,,,S,2026-02-18 09:03:04,190,805,84,117,42383
30,GDL,10,2026-02-18,09:03:00,14,99,0,572923,,,se le tomaron 10 litros para ponerle al PRD ya que se quedo tirado en obra,S,2026-02-18 09:04:39,150,805,85,3423,26592
31,GDL,8,2026-02-18,10:10:00,11,142,0,419891,,,,S,2026-02-18 10:11:32,323,805,113,2890,43438
32,GDL,10,2026-02-18,10:10:00,14,153,0,573076,,,,S,2026-02-19 08:11:23,89,1582,91,7286,13927
33,GDL,8,2026-02-19,10:09:00,10,72,0,419963,,,,S,2026-02-19 10:10:48,323,805,116,2899,93524